DATE,V2TX,V6I1,V6I2
2001-02-01,21.7483,22.0544,21.6589
2001-02-02,21.1674,21.587,21.0659
2001-02-05,21.525,21.6143,21.5137
2001-02-06,20.5066,20.2548,20.5314
2001-02-07,20.7801,20.6688,20.7886
2001-02-08,20.1604,19.6048,20.1913
2001-02-09,20.3934,19.2989,20.436
2001-02-12,19.6955,21.427,19.681
2001-02-13,19.8939,22.09,19.888
2001-02-14,21.0316,28.4605,21.0523
2001-02-15,19.6685,,19.7181
2001-02-16,21.0099,,21.2247
2001-02-19,21.2961,21.9004,19.7975
2001-02-20,21.4465,22.2713,19.8138
2001-02-21,22.6497,24.1111,20.237
2001-02-22,23.9595,24.8314,22.8252
2001-02-23,23.8147,24.8448,22.6939
2001-02-26,23.7364,24.937,22.9516
2001-02-27,22.9086,24.1122,22.2404
2001-02-28,23.3123,25.1044,22.4526
2001-03-01,23.3797,25.5318,22.4957
2001-03-02,22.8025,24.4161,22.2503
2001-03-05,22.2056,23.7246,21.9003
2001-03-06,20.877,21.387,20.7946
2001-03-07,20.7941,21.6742,20.677
2001-03-08,20.5669,22.2024,20.3887
2001-03-09,21.1372,23.392,20.9412
2001-03-12,23.4681,32.0388,23.1361
2001-03-13,24.1972,36.7129,23.8652
2001-03-14,27.1949,50.2696,26.8126
2001-03-15,27.2113,,26.6254
2001-03-16,27.708,,27.1977
2001-03-19,28.2499,27.9918,25.852
2001-03-20,27.7236,27.6236,25.6994
2001-03-21,28.3524,28.3867,26.1169
2001-03-22,30.5634,30.8555,27.1312
2001-03-23,31.441,31.7505,29.5961
2001-03-26,28.7891,29.3553,27.5957
2001-03-27,27.0792,27.2897,26.7378
2001-03-28,29.6507,30.4914,28.5309
2001-03-29,30.1767,31.0643,29.2148
2001-03-30,29.8427,30.8948,28.9004
2001-04-02,29.5547,30.8558,28.8813
2001-04-03,33.0777,36.0682,31.7434
2001-04-04,32.6021,35.2706,31.6187
2001-04-05,30.5196,32.27,29.9937
2001-04-06,29.7427,31.2954,29.3593
2001-04-09,28.7019,30.5752,28.4557
2001-04-10,26.521,27.3619,26.436
2001-04-11,25.3539,25.3124,25.357
2001-04-12,25.1553,23.7361,25.233
2001-04-17,27.7887,35.5705,27.7661
2001-04-18,25.1814,34.8914,25.1838
2001-04-19,26.1885,,26.2308
2001-04-20,26.52,,26.6775
2001-04-23,26.9862,27.2835,26.3681
2001-04-24,25.7069,25.9484,25.3146
2001-04-25,24.958,25.2312,24.6014
2001-04-26,22.9708,22.9039,23.041
2001-04-27,20.9765,20.2841,21.5582
2001-04-30,21.2096,21.1535,21.2376
2001-05-02,21.7019,22.2633,21.5027
2001-05-03,22.9237,23.838,22.652
2001-05-04,22.902,23.9168,22.6526
2001-05-07,22.5204,24.4674,22.2616
2001-05-08,22.412,23.7261,22.2771
2001-05-09,22.67,24.7699,22.5022
2001-05-10,21.2014,22.476,21.1272
2001-05-11,21.0013,21.6211,20.9762
2001-05-14,22.2907,25.5699,22.2625
2001-05-15,21.6761,27.9879,21.6577
2001-05-16,21.8261,28.0276,21.826
2001-05-17,21.1251,,21.1056
2001-05-18,20.6796,,20.6437
2001-05-21,20.6196,20.5286,20.8327
2001-05-22,20.0028,19.8262,20.3287
2001-05-23,20.0701,19.7228,20.5846
2001-05-24,19.5906,19.2191,20.0444
2001-05-25,19.5156,19.109,19.9297
2001-05-28,19.7229,19.316,19.9738
2001-05-29,20.4677,20.5839,20.4055
2001-05-30,21.5401,21.9198,21.3657
2001-05-31,21.3324,21.9319,21.0969
2001-06-01,20.9758,21.01,20.9646
2001-06-04,20.6748,21.3476,20.5424
2001-06-05,19.8599,19.705,19.8845
2001-06-06,19.9585,20.3403,19.9083
2001-06-07,19.9685,20.4539,19.9172
2001-06-08,19.0088,18.9241,19.0158
2001-06-11,19.596,22.1915,19.5058
2001-06-12,21.9501,29.5074,21.7639
2001-06-13,21.3075,27.2843,21.2286
2001-06-14,23.6198,,22.6302
2001-06-15,24.2691,,23.2872
2001-06-18,24.4264,24.3397,23.6404
2001-06-19,22.8877,22.8719,22.5763
2001-06-20,23.083,23.0898,22.6537
2001-06-21,22.2517,22.2626,22.1311
2001-06-22,20.9377,20.8684,21.3325
2001-06-25,21.4135,21.3552,21.5322
2001-06-26,23.5298,23.7901,23.1059
2001-06-27,23.1896,23.3409,22.9931
2001-06-28,21.7453,21.6005,21.8964
2001-06-29,20.3374,19.7714,20.8153
2001-07-02,19.6287,19.5008,19.6924
2001-07-03,20.4274,20.2649,20.495
2001-07-04,20.5635,20.5446,20.5701
2001-07-05,20.9835,21.2428,20.9078
2001-07-06,24.72,27.8049,23.9234
2001-07-09,25.3517,29.4167,24.7891
2001-07-10,25.0002,29.0757,24.5583
2001-07-11,27.7726,33.3713,27.2997
2001-07-12,25.0319,28.9338,24.7936
2001-07-13,24.4581,27.4243,24.332
2001-07-16,25.5613,31.3061,25.51
2001-07-17,26.1614,34.3426,26.1373
2001-07-18,28.3975,37.1922,28.4126
2001-07-19,26.0746,,26.1018
2001-07-20,26.1025,,26.1186
2001-07-23,25.7157,25.7396,25.6593
